environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
585     1.50            3.50            5.50            44.59           
586     1.00            2.71            4.50            45.37           
587     1.50            3.20            5.00            44.95           
588     1.50            2.91            4.50            45.14           
589     0.50            2.41            4.50            45.31           
590     1.00            3.67            6.00            44.83           
591     1.50            4.15            6.50            44.30           
592     0.00            0.76            2.00            46.43           
593     0.50            2.27            4.00            45.25           
594     0.50            3.44            6.00            44.64           
595     1.50            3.96            6.00            44.34           
596     1.00            2.92            5.00            45.14           
597     1.50            4.66            6.50            43.59           
598     1.50            3.38            5.50            44.63           
599     1.00            2.43            4.50            45.05           
600     1.00            2.76            5.00            45.14           
601     0.50            2.62            4.50            45.22           
602     1.50            3.79            5.50            44.74           
603     0.50            2.76            4.50            44.92           
604     1.00            2.61            4.50            45.44           
605     0.00            2.05            4.00            45.72           
606     0.50            1.70            2.50            45.70           
607     0.00            1.79            3.50            45.79           
608     1.50            3.16            5.00            44.91           
609     2.00            3.93            6.00            44.55           
610     0.50            2.25            4.00            45.31           
611     1.00            2.56            4.00            45.11           
612     1.00            2.31            4.00            45.18           
613     2.50            4.12            6.50            44.19           
614     1.00            3.58            5.00            44.62           
